	brewery_type	name	street	city	postal_code	phone	yelp_rating	yelp_review_count
0	brewpub	LAB Brewing Co / Twisted Oak Tavern	30105 Agoura Rd	Agoura Hills	91301-2003	8187350091	4.0	397
1	brewpub	Ladyface Ale Companie	29281 Agoura Rd	Agoura Hills	91301-2597	8184774566	3.5	959
2	micro	Alameda Island Brewing Company	1716 Park St	Alameda	94501-1416	5102178885	4.5	299
3	micro	Almanac Beer Company	651B W Tower Ave	Alameda	94501-5047	4159326531	4.5	34
4	micro	Faction Brewing Co	2501 Monarch St Ste 200	Alameda	94501-5098	5105232739	4.5	476
5	brewpub	Junction Brewery & Grill	110 W American Canyon Rd	American Canyon	94503-4196	7076492285	3.5	240
6	micro	Back Street Brewery & Tasting Room	1884 S Santa Cruz St	Anaheim	92805-6726	6572364050	4.5	183
7	micro	Anaheim Brewery	336 S Anaheim Blvd	Anaheim	92805-3830	7147801888	4.0	298
8	planning	Ballast Point Brewing Company		Anaheim	92802-2294		3.0	310
9	planning	Ballast Point Brewing Company		Anaheim	92802-2294		3.5	2156
10	planning	Ballast Point Brewing Company		Anaheim	92802-2294		4.0	1808
11	planning	Ballast Point Brewing Company		Anaheim	92802-2294		4.0	1808
12	large	Ballast Point Brewing Company	110 N Marina Dr	Long Beach	90803-4601	8586952739	3.0	310
13	large	Ballast Point Brewing Company	110 N Marina Dr	Long Beach	90803-4601	8586952739	3.5	2156
14	large	Ballast Point Brewing Company	110 N Marina Dr	Long Beach	90803-4601	8586952739	4.0	1808
15	large	Ballast Point Brewing Company	110 N Marina Dr	Long Beach	90803-4601	8586952739	4.0	1808
16	large	Ballast Point Brewing Company	9045 Carroll Way	San Diego	92121-2405	8586952739	3.0	310
17	large	Ballast Point Brewing Company	9045 Carroll Way	San Diego	92121-2405	8586952739	3.5	2156
18	large	Ballast Point Brewing Company	9045 Carroll Way	San Diego	92121-2405	8586952739	4.0	1808
19	large	Ballast Point Brewing Company	9045 Carroll Way	San Diego	92121-2405	8586952739	4.0	1808
20	large	Ballast Point Brewing Company	7606 Trade St	San Diego	92121-2405	8586952739	3.0	310
21	large	Ballast Point Brewing Company	7606 Trade St	San Diego	92121-2405	8586952739	3.5	2156
22	large	Ballast Point Brewing Company	7606 Trade St	San Diego	92121-2405	8586952739	4.0	1808
23	large	Ballast Point Brewing Company	7606 Trade St	San Diego	92121-2405	8586952739	4.0	1808
24	micro	Bottle Logic Brewing	1072 N Armando St	Anaheim	92806-2605	714660	4.5	695
25	planning	Brewheim Brewing Company		Anaheim	92806		5.0	85
26	micro	Bruery Terreux	1174 N Grove St	Anaheim	92806-2129	7149966258	4.5	228
27	micro	Legends Craft Brewery	1301 S Lewis St	Anaheim	92805-6431	8883270202	4.5	176
28	brewpub	JT Schmids Restaurant & Brewery	2610 E Katella Ave	Anaheim	92806-5903	7146349200	3.0	667
29	brewpub	Phantom Ales	1211 N Las Brisas St	Anaheim	92806-1823	7146309463	4.5	450
30	micro	Mt Lowe Brewing Company	150 E Saint Joseph St	Arcadia	91006-2851	6262447593	4.5	360
31	brewpub	Figueroa Mountain Brewing - Arroyo Grande	1462 E Grand Ave	Arroyo Grande	93420-2448	8058869275	4.0	340
32	micro	Dead Oak Brewing Company	5925 Entrada Ave	Atascadero	93422-4223	6023327027	5.0	33
33	micro	Tent City Beer Company	6760 El Camino Real	Atascadero	93422-4205	8054606454	4.5	75
34	brewpub	Auburn Alehouse	289 Washington St	Auburn	95603-5036	5308852537	4.0	1049
35	brewpub	Tap and Vine	907 Lincoln Way	Auburn	95603	5308898463	4.0	262
36	micro	Crooked Lane Brewing Co	536 Grass Valley Hwy	Auburn	95603-3807	5306137434	4.5	130
37	micro	Catalina Island Brew House	417 Crescent Ave	Avalon	90704	3105906905	4.5	260
38	planning	Great Change Brewing		Bakersfield	93313	6195170736	4.5	26
39	brewpub	Lengthwise Brewing Co	7700 District Blvd	Bakersfield	93313-4861	6618362537	4.5	357
40	brewpub	Temblor Brewing Company	3200 Buck Owens Blvd Ste 200	Bakersfield	93308-6376	6614894855	4.0	516
41	micro	Brew Rebellion	33 S San Gorgonio Ave	Banning	92220-6001	9519074844	4.0	20
42	micro	Brew Rebellion	195 N Del Rosa Dr	San Bernardino	92408	9519074844	4.0	20
43	micro	Campbell Brewing Co	200 E Campbell Ave	Campbell	95008-2010	4088662699	2.5	400
44	micro	Campbell Brewing Co	200 E Campbell Ave	Campbell	95008-2010	4088662699	2.5	400
45	micro	Campbell Brewing Co	200 E Campbell Ave	Campbell	95008-2010	4088662699	2.5	400
46	micro	Campbell Brewing Co	200 E Campbell Ave	Campbell	95008-2010	4088662699	2.5	400
47	micro	Angry Horse Brewing	603 W Whittier Blvd	Montebello	90640-5235	3235300015	4.0	102
48	micro	Angry Horse Brewing	603 W Whittier Blvd	Montebello	90640-5235	3235300015	4.0	102
49	micro	Angry Horse Brewing	603 W Whittier Blvd	Montebello	90640-5235	3235300015	4.0	102
50	micro	Angry Horse Brewing	603 W Whittier Blvd	Montebello	90640-5235	3235300015	4.0	102
51	regional	Fieldwork Brewing Co	1160 6th St	Berkeley	94710-1247	5108981203	4.5	510
52	micro	The Rare Barrel	940 Parker St	Berkeley	94710	5109846585	4.5	308
53	micro	Gilman Brewing Company	912 Gilman St	Berkeley	94710-1424		4.5	127
54	micro	Hoi Polloi Brewpub and Beat Lounge	1763 Alcatraz Ave	Berkeley	94703	5108587334	4.5	176
55	brewpub	Jupiter	2181 Shattuck Ave	Berkeley	94704-1308	5108438277	4.0	3043
56	brewpub	Triple Rock Brewery and Alehouse	1920 Shattuck Ave	Berkeley	94704-1022	5108432739	5.0	17
57	regional	Trumer Brewery	1404 4th St	Berkeley	94710-1323	5105261160	4.5	44
58	brewpub	Big Bear Lake Brewing Co	40827 Stone Rd	Big Bear Lake	92315	9098780283	3.5	1390
59	brewpub	Big Bear Mountain Brewery	40260 Big Bear Blvd	Big Bear Lake	92315	9098662337	3.0	475
60	micro	Mountain Rambler Brewery	186 S Main St	Bishop	93514-3415	7602581348	4.5	327
61	micro	Mad River Brewing Co	101 Taylor Way	Blue Lake	95525	7076684151	4.0	152
62	brewpub	TAPS Fish House and Brewery - Brea	101 E Imperial Hwy	Brea	92821-4924	7142570101	4.0	2255
63	brewpub	BJs Restaurant & Brewery - Brea	600 Brea Mall Dr	Brea	92821-5764	7149902095	3.0	890
64	micro	Firestone Walker Barrelworks	620 McMurray Rd	Buellton	93427-2511	8056861557	4.0	612
65	regional	Figueroa Mountain Brewing	45 Industrial Way	Buellton	93427-9565	8056942252	4.5	298
66	brewpub	Brewery At Simmzys Burbank	3000 W Olive Ave	Burbank	91505-4537	8189622500	4.0	576
67	brewpub	Gordon Biersch Brewery Restaurant - Burbank	145 S San Fernando Blvd	Burbank	91502-1322	8185695240	4.5	145
68	micro	Henson Brewing		Burbank	91504		4.0	39
69	micro	Lincoln Beer Company	3083 N Lima St	Burbank	91504-2013	8186874206	4.5	200
70	micro	Verdugo West Brewing Company	156 W Verdugo Ave	Burbank	91502-2132	8188415040	4.0	82
71	brewpub	Steelhead Brewing Co - Burlingame Station	333 California Dr	Burlingame	94010-4114	6503446050	3.0	754
72	brewpub	Johnny's Calistoga / Mud City Brews	1457 Lincoln Ave	Calistoga	94515	7079425938	4.0	817
73	brewpub	Napa Valley Brewing Co/ Calistoga Inn	1250 Lincoln Ave	Calistoga	94515-1741	7079424101	4.5	105
74	planning	Brewery in Planning - Camarillo, CA		Camarillo	93012-9406	8054077641	4.5	482
75	brewpub	Institution Ale Company	3841 Mission Oaks Blvd	Camarillo	93012-5036	8054823777	4.5	482
76	micro	Sante Adairius Rustic Ales	103 Kennedy Dr	Capitola	95010-3641	8313454867	4.5	166
77	micro	Rouleur Brewing Company	5840 El Camino Real Ste 101	Carlsbad	92008-8804	4422445111	4.5	74
78	brewpub	Karl Strauss Brewing Co - Carlsbad	5801 Armada Dr	Carlsbad	92008-4609	7604312739	4.0	1347
79	planning	Papa Marce's Cerveceria		Carlsbad	92008	8584146976	5.0	28
80	regional	Pizza Port - Bressi Ranch	2730 Gateway Rd	Carlsbad	92009-1730	7607071655	3.5	541
81	regional	Pizza Port Carlsbad	571 Carlsbad Village Dr	Carlsbad	92008-2304	7607207007	3.5	1908
82	micro	Island Brewing Co	5049 6th St	Carpinteria	93013-2001	8057458272	4.5	231
83	brewpub	Rincon Brewery	5065 Carpinteria Ave	Carpinteria	93013-2046	8056846044	4.0	345
84	planning	Teeccino Brewing Company		Carpinteria	93013-2905	8059660999	5.0	55
85	micro	British Bulldog Brewery	14540 Camaren Park Dr	Chico	95973-8835	5308928759	4.0	237
86	regional	Sierra Nevada Brewing Co	1075 E 20th St	Chico	95928-6722	5308933520	4.0	991
87	micro	Chula Vista Brewery	294 Third Ave	Chula Vista	91910-2701	6196168806	4.0	75
88	micro	Chula Vista Brewery	294 Third Ave	Chula Vista	91910-2701	6196168806	4.0	75
89	micro	Chula Vista Brewery	294 Third Ave	Chula Vista	91910-2701	6196168806	4.0	75
90	micro	Chula Vista Brewery	294 Third Ave	Chula Vista	91910-2701	6196168806	4.0	75
91	micro	Novo Brazil Brewing Company	901 Lane Ave # 100	Chula Vista	91914-3501	6198694274	4.0	215
92	micro	Novo Brazil Brewing Company	901 Lane Ave # 100	Chula Vista	91914-3501	6198694274	4.0	215
93	micro	Novo Brazil Brewing Company	901 Lane Ave # 100	Chula Vista	91914-3501	6198694274	4.0	215
94	micro	Novo Brazil Brewing Company	901 Lane Ave # 100	Chula Vista	91914-3501	6198694274	4.0	215
95	micro	Thr3e Punks Ale	259 Third Ave	Chula Vista	91910-2721	6198579092	4.5	66
96	micro	Thr3e Punks Ale	259 Third Ave	Chula Vista	91910-2721	6198579092	4.5	66
97	micro	Thr3e Punks Ale	259 Third Ave	Chula Vista	91910-2721	6198579092	4.5	66
98	micro	Thr3e Punks Ale	259 Third Ave	Chula Vista	91910-2721	6198579092	4.5	66
99	planning	Brewery in Planning - Claremont		Claremont	91711		4.5	331
100	planning	Brewery In Planning - Claremont		Claremont	91711-1764		4.5	331
101	planning	Two Dude Brew		Clearlake	95422-8159	7075337600	3.5	175
102	micro	559 Local Brewing	608 4th St	Clovis	93612-1183	5594731875	4.0	64
103	brewpub	Riley's Brew Pub	2674 Owens Mountain Pkwy Ste 104	Clovis	93611-9588	5598622925	4.0	264
104	micro	Zone 9 Brewing Company	1450 Tollhouse Rd Ste 105	Clovis	93611-0503	5592600539	5.0	29
105	regional	Coronado Brewing Co	170 Orange Ave	Coronado	92118-1409	6194374452	4.0	375
106	regional	Coronado Brewing Co	170 Orange Ave	Coronado	92118-1409	6194374452	4.0	375
107	regional	Coronado Brewing Co	170 Orange Ave	Coronado	92118-1409	6194374452	4.0	375
108	regional	Coronado Brewing Co	170 Orange Ave	Coronado	92118-1409	6194374452	4.0	375
109	brewpub	Main Street Brewery	493 N Main St	Corona	92880-2042	9513711471	4.0	235
110	micro	Stone Church Brewing	2785 Cabot Dr Ste 160	Corona	92883-7388	3105676582	4.5	125
111	brewpub	TAPS Fish House and Brewery - Corona	2745 Lakeshore Dr	Corona	92883-7367	9512775800	4.0	1140
112	micro	Alosta Brewing Co	692 Arrow Grand Cir	Covina	91722-2122	9094558707	4.5	152
113	brewpub	BJs Restaurant & Brewery - West Covina	2917 E Eastland Ctr Dr	West Covina	91791-1603	6268580054	3.0	969
114	brewpub	BJs Restaurant & Brewery - West Covina	2917 E Eastland Ctr Dr	West Covina	91791-1603	6268580054	3.0	969
115	brewpub	BJs Restaurant & Brewery - West Covina	2917 E Eastland Ctr Dr	West Covina	91791-1603	6268580054	3.0	969
116	brewpub	BJs Restaurant & Brewery - West Covina	2917 E Eastland Ctr Dr	West Covina	91791-1603	6268580054	3.0	969
117	brewpub	Port O'Pints Brewing Co.	1215 Northcrest Dr	Crescent City	95531-2320	7074601154	5.0	81
118	brewpub	Seaquake Brewing	400 Front St	Crescent City	95531-4369	7074654444	4.5	290
119	planning	Brewery in Planning - Culver City		Culver City	90230-4108		4.0	241
120	planning	Brewery In Planning - Daly City		Daly City	94015		2.5	2142
121	micro	Sudwerk Brewing Co	2001 2nd St	Davis	95618-5474	5307562739	4.5	88
122	micro	Super Owl Brewing	1260 Lake Blvd Ste 121	Davis	95616-5669	5307465992	5.0	37
123	micro	Three Mile Brewing Co	231 G St	Davis	95616-4549	5305644351	4.5	88
124	micro	Ruhstaller Beer	800 Business Park Drive, Suite G	Dixon	95620	5306018240	4.5	123
125	micro	Ruhstaller Beer	726 K St	Sacramento	95814-3403	9169195691	4.5	123
126	brewpub	Inc 82 Brewing	7370 San Ramon Rd	Dublin	94568-2336	9255608344	4.0	349
127	micro	Burning Beard Brewing	785 Vernon Way	El Cajon	92020-1938	6194569185	4.5	100
128	brewpub	Elevation 66 Brewing Co	10082 San Pablo Ave	El Cerrito	94530-3927	5308489176	4.0	580
129	micro	Progress Brewing	1822 Chico Ave	South El Monte	91733-2944	6265529603	4.5	317
130	micro	Progress Brewing	1822 Chico Ave	South El Monte	91733-2944	6265529603	4.5	317
131	micro	Progress Brewing	1822 Chico Ave	South El Monte	91733-2944	6265529603	4.5	317
132	micro	Progress Brewing	1822 Chico Ave	South El Monte	91733-2944	6265529603	4.5	317
133	micro	El Segundo Brewing Co	140 Main St	El Segundo	90245-3801	3105293882	4.5	337
134	micro	Tilted Mash Brewery	9175 Union Park Way	Elk Grove	95624-2792		4.5	109
135	planning	Brewery In Planning - Elk Grove		Elk Grove	95624-6066		4.5	109
136	micro	Flatland Brewing Company	9183 Survey Rd Ste 104	Elk Grove	95624-9712	9167533116	4.5	77
137	micro	Escondido Brewing Company	649 Rock Springs Rd	Escondido	92025-1622		4.5	44
138	brewpub	Plan 9 Alehouse	155 E Grand Ave	Escondido	92025-2701	7604898817	4.0	535
139	regional	Stone Brewing Co	2120 Harmony Grove Rd	Escondido	92029-2053	76029478991803	4.0	4401
140	brewpub	Paystreak Brewing	449 Main Street	Etna	96027	5304672337	4.5	13
141	planning	Humboldt Springs Brewing Co		Eureka	95501	7074993050	3.5	483
142	regional	Lost Coast Brewery and Cafe - Table Bluff Brewing, Inc.	617 4th St	Eureka	95501-1013	7074454480	3.5	479
143	micro	The Booth Brewing Co.	123 W 3rd St	Eureka	95501-0222	7075725728	3.5	903
144	brewpub	Iron Springs Pub & Brewery	765 Center Blvd	Fairfax	94930-1764	4154851005	4.0	323
145	large	Anheuser-Busch Inc 8093 Fairfield	3101 Busch Dr	Fairfield	94534-9726	7074292000	5.0	679
146	micro	Blue Frog Brewing Company	1740 Travis Blvd	Fairfield	94533-3431	7074292337	4.5	253
147	planning	Old Country Brewing		Fairfield	94533-7790		4.5	253
148	micro	Eel River Brewing Co	1777 Alamar Way	Fortuna	95540-9548	7077252739	3.5	483
149	planning	Black Magic Brewing		Fountain Valley	92708-6431		4.5	335
150	brewpub	Jack's Brewing Co	39176 Argonaut Way	Fremont	94538-1304	5107962036	3.5	421
151	micro	JP DasBrew	44356 S Grimmer Blvd	Fremont	94538-6385	5102705345	4.5	155
152	brewpub	Sequoia Brewing Co - Tower District	777 E Olive Ave	Fresno	93728-3350	5592645521	3.5	183
153	micro	Full Circle Brewing Co	620 F St	Fresno	93706-3413	5592646323	3.5	68
154	micro	Tioga-Sequoia Brewing Co	746 Broadway St	Fresno	93721-2808	5592645521	4.5	143
155	micro	Bootleggers Brewery	130 S Highland Ave	Fullerton	92832-1803	7148712337	4.5	758
156	micro	Bootleggers Brewery	130 S Highland Ave	Fullerton	92832-1803	7148712337	4.5	758
157	micro	Bootleggers Brewery	1100 E Truslow Ave	Fullerton	92831-4626	7148712337	4.5	758
158	micro	Bootleggers Brewery	1100 E Truslow Ave	Fullerton	92831-4626	7148712337	4.5	758
159	micro	River Rock Brewery	807 C St	Galt	95632-1706	2093316071	4.5	15
160	brewpub	Golden State Brew and Grill	7560 Monterey Rd Ste 100	Gilroy	95020	4088467070	4.0	47
161	planning	Can Of Worms Brewing		Glendale	91214-1713	8187975520	4.0	364
162	planning	Oak Grove Brewing Company		Glendale	91208-1836	8183199577	4.5	39
163	brewpub	Hollister Brewing Co	6980 Market Place Dr	Goleta	93117-2997	8059682810	3.5	474
164	micro	Draughtsmen Aleworks	53 Santa Felicia Dr	Goleta	93117-2804	8053872577	5.0	68
165	brewpub	Sacrilege Brewing Project	730 Main St	Half Moon Bay	94019-1925	6502767029	4.0	222
166	micro	Common Space Brewery	3411 W El Segundo Blvd	Hawthorne	90250-4816	3106662825	4.5	98
167	micro	Los Angeles Ale Works	12918 Cerise Ave	Hawthorne	90250-5521	4244564191	4.5	163
168	brewpub	Buffalo Bills Brewery	1082 B St	Hayward	94541-4108	5108869823	3.5	1458
169	regional	Bear Republic Brewing Co	345 Healdsburg Ave	Healdsburg	95448-4105	7074332337	3.5	361
170	brewpub	Abigaile	1301 Manhattan Ave	Hermosa Beach	90254-3666	3107988227	4.0	1199
171	brewpub	Brewery At Abigaile	1301 Manhattan Ave	Hermosa Beach	90254-3666	3107988227	4.0	1199
172	micro	Brewery Twenty Five	106 3rd St	Hollister	95023	8316367640	5.0	10
173	brewpub	Grillin & Chillin Alehouse	401 McCray St # B24	Hollister	95023-2225	8316372337	4.0	92
174	micro	Riip Beer Company	17216 Pacific Coast Hwy	Huntington Beach	92649-4116	7142486710	4.5	205
175	planning	Tortugo Brewing Company		Inglewood	90302-3308		5.0	34
176	brewpub	Bolt Brewery	8179 Center St	La Mesa	91942-2907	6193037837	4.5	228
177	micro	Helix Brewing Co	8101 Commercial St	La Mesa	91942-2927	6197418447	4.5	184
178	brewpub	Laguna Beach Brewery and Grille	237 Ocean Ave	Laguna Beach	92651-2106	9494973381	4.5	321
179	micro	Craft Brewing Company	530 Crane St	Lake Elsinore	92530-2779	9516742562	4.5	101
180	brewpub	O'Meara Bros. Brewing Company	901 Bevins St	Lakeport	95453-8778	7072621234	3.5	175
181	brewpub	Kinetic Brewing Company	735 W Lancaster Blvd	Lancaster	93534-3118	6619422337	3.5	421
182	micro	Bravery Brewing	42705 8th St W	Lancaster	93534-7184	6619514677	4.5	137
183	brewpub	Marin Brewing Co	1809 Larkspur Landing Cir	Larkspur	94939-1801	4154614677	3.0	751
184	micro	Bird Street Brewing	242 Heinlen St	Lemoore	93245-2947	5593094649	4.5	5
185	planning	Dueling Dogs Brewing Company		Lincoln	95648-8503	9164348141	4.5	130
186	micro	Altamont Beer Works	2402 Research Dr	Livermore	94550-3850	9254432337	4.5	205
187	micro	Eight Bridges Brewing	332 Earhart Way	Livermore	94551-9309	9259619160	4.0	107
188	contract	Gridlock Brewing Co	2659 Pickfair Lane	Livermore	94551	4088358794	4.5	159
189	brewpub	The Dancing Fox	203 S School St	Lodi	95240-3511	2093662634	4.0	635
190	micro	Five Window Beer Co	9 W Locust St	Lodi	95240-2137	2097122336	4.5	88
191	micro	Idol Beer Works	100 S Sacramento St	Lodi	95240-3526		4.5	40
192	brewpub	Lodi Beer Company	105 S School St	Lodi	95240-3509	2093682964	4.0	737
193	planning	Burnin Daylight Brewing Company		Lomita	90717	3107417621	5.0	40
194	brewpub	Solvang Brewing Company - Lompoc	234 N H St	Lompoc	93436-6022	9787292485	3.5	259
195	micro	Long Beach Beer Lab	518 W Willow St	Long Beach	90806-2831	5623413659	4.5	145
196	brewpub	Rock Bottom Brewery - Long Beach	1 Pine Ave	Long Beach	90802-4759	5623082255	3.0	998
197	planning	Ambitious Ales		Long Beach	90807-2907	7142962550	5.0	62
198	micro	Beachwood Blendery	247 Long Beach Blvd	Long Beach	90802-3136		4.5	78
199	brewpub	Belmont Brewing Co	25 39th Pl	Long Beach	90803-2806	5624333891	3.5	1467
200	brewpub	Dutch's BrewHouse	4244 Atlantic Ave	Long Beach	90807-2802	5623361326	5.0	220
201	micro	Liberation Brewing	3630 Atlantic Ave	Long Beach	90807	5623490133	4.5	51
202	micro	Steady Brewing	2936 Clark Ave	Long Beach	90815	5623516793	4.0	39
203	micro	Loomis Basin Brewing Co	3277 Swetzer Rd	Loomis	95650-7607	9162592739	4.0	134
204	planning	Brewery in Planning - Los Angeles		Los Angeles	90049-1620	3107796045	4.5	257
205	micro	Dry River Brewing	671 S Anderson St	Los Angeles	90023-1110	2133755235	4.0	55
206	micro	Iron Triangle Brewing Company	1581 Industrial St	Los Angeles	90021-1217	3109905702	4.0	246
207	brewpub	6th and La Brea	600 South La Brea Ave	Los Angeles	90036		4.0	239
208	micro	Angel City Brewery	216 S Alameda St	Los Angeles	90012-4201	2136221261	4.0	1729
209	brewpub	Arts District Brewing Company	828 Traction Ave	Los Angeles	90013-1816		4.0	895
210	micro	Boomtown Brewery	700 Jackson St	Los Angeles	90012-3443	2136178497	4.5	347
211	micro	Eagle Rock Brewery	3056 Roswell St	Los Angeles	90065-2214	3232577866	4.5	413
212	micro	Frogtown Brewery	2931 Gilroy St	Los Angeles	90039-2817	3234522739	4.5	94
213	micro	Highland Park Brewery	5125 York Blvd	Los Angeles	90042	4255011255	4.0	113
214	micro	Highland Park Brewery	5125 York Blvd	Los Angeles	90042	4255011255	4.5	126
215	brewpub	Highland Park Brewery	1229 N Spring St	Los Angeles	90012	3237396459	4.0	113
216	brewpub	Highland Park Brewery	1229 N Spring St	Los Angeles	90012	3237396459	4.5	126
217	brewpub	Karl Strauss Brewing Co - Downtown Los Angeles	600 Wilshire Blvd Ste 100	Los Angeles	90017-3212	2132282739	4.5	611
218	planning	Lawless Brewing		Los Angeles	90068-1436	8184567345	4.0	8048
219	micro	Mumford Brewing Company	416 Boyd St	Los Angeles	90013-1631	6263759353	4.5	257
220	micro	Ohana Brewing Co	1756 E 23rd St	Los Angeles	90058-1012	6262822337	4.5	155
221	planning	Brewery in Planning - Los Gatos		Los Gatos	95033-8034		4.0	328
222	micro	Riley's Brewing Co	28777 Avenue 15 1/2	Madera	93638-2316	5596738021	4.0	210
223	micro	Second Son Brews	12810 Road 38	Madera	93636-8671		5.0	5
224	micro	Black Doubt Brewing Company	452 Old Mammoth Rd, #104	Mammoth Lakes	93546	7605250462	5.0	128
225	brewpub	Rocksteady Brewing Co.	611 Escobar St	Martinez	94553-1111	9252288787	3.5	496
226	proprietor	Headlands Brewing Company		Mill Valley	94941-2003	4158604226	3.0	751
227	brewpub	Mill Valley Beer Works	173 Throckmorton Ave	Mill Valley	94941-1909		3.5	394
228	micro	Hop Secret Brewing Co	162 W Pomona Ave	Monrovia	91016-4558		4.5	239
229	micro	Pacific Plate Brewing Co	1999 S Myrtle Ave	Monrovia	91016-4854	6262398456	4.5	239
230	micro	Dragon's Tale Brewery	8920 Vernon Ave Ste 122	Montclair	91763-1662	9095292688	4.5	71
231	brewpub	Alvarado Street Brewery & Grill	426 Alvarado St	Monterey	93940-2711	8316552337	4.0	1106
232	planning	Canyon Club Brewery		Moraga	94556	8087992005	4.0	61
233	brewpub	El Toro Brewing Company Brewpub	17605 Monterey Rd	Morgan Hill	95037-3620		4.5	235
234	contract	Palo Alto Brewing Co	1080B La Avenida St	Mountain View	94043-1422		4.0	108
235	brewpub	Tied House Cafe and Brewery-Mtn View	954 Villa St	Mountain View	94041-1236	6509652739	3.5	852
236	micro	Electric Brewing Co	41537 Cherry St	Murrieta	92562-9193	9516962266	4.5	117
237	brewpub	Downtown Joes Brewery and Restaurant	902 Main St	Napa	94559-3045	7072582337	3.5	812
238	brewpub	Hop Creek Pub	3253 Browns Valley Rd	Napa	94558-5424	7072577708	4.5	212
239	proprietor	Napa Palisades Beer Company	1000 Main St	Napa	94559-2645	7072961552	4.5	293
240	brewpub	Silo's	530 Main St	Napa	94559-3378	7072515833	4.0	67
241	micro	St Clair Brown Winery & Brewery	816 Vallejo St	Napa	94559	7072555591	4.5	191
242	brewpub	Tarla Mediterranean Bar and Grill	1480 1st St	Napa	94559-2843	7072555599	4.0	1061
243	brewpub	The Runway By Patrick	2044 Airport Rd	Napa	94558-6208	7072586115	4.0	98
244	micro	Trade Brewing	731 1st St	Napa	94559-2624	7074928223	4.5	45
245	micro	Ol' Republic Brewery	124 Argall Way	Nevada City	95959-3002	5302647263	4.0	69
246	brewpub	Three Forks Bakery & Brewing Company	211 Commercial St	Nevada City	95959-2506	5304708333	4.0	370
247	micro	Sons of Liberty Aleworks	1780 Town and Country Dr Ste 101	Norco	92860-3618	9514035122	4.5	122
248	micro	Indian Valley Brewing	14 Commercial Blvd Ste 125	Novato	94949-6110	4153014983	4.5	9
249	brewpub	Moylan's Brewery & Restaurant	15 Rowland Way	Novato	94945-5001	4158984677	3.5	491
250	planning	Trail Dog Brewing Co.		Novato	94945-3318	4157580411	4.5	1861
251	brewpub	Woods Bar & Brewery	1701 Telegraph Ave	Oakland	94612-2107	4155091695	4.0	173
252	micro	Ale Industries	3096 E 10th St	Oakland	94601-2960	9254705280	4.5	169
253	planning	Brewery in Planning - Oakland		Oakland	94611-5570		4.5	56
254	micro	Diving Dog Brewhouse	1802 Telegraph Ave	Oakland	94612-2110	5103061914	4.0	147
255	micro	Ghost Town Brewing	1960 Adeline St	Oakland	94607-2300	5109266728	4.5	74
256	micro	Independent Brewing Co	444 Harrison St	Oakland	94607-4118		4.0	65
257	brewpub	Old Kan Beer & Co	95 Linden St	Oakland	94607-2510	5103383965	4.5	78
258	micro	Original Pattern Brewing Company	292 4th St	Oakland	94607-4332	5108444833	4.5	56
259	micro	Roses' Taproom	4930 Telegraph Ave	Oakland	94609-2012	5108583969	4.0	80
260	planning	Tack Brewing		Oakland	94618-1534	8054044861	4.0	3043
261	micro	Temescal Brewing	4115 Telegraph Ave	Oakland	94609-2405	5108995628	4.0	193
262	brewpub	Woods Beer Company	1701 Telegraph Ave	Oakland	94612-2107	4158149212	4.0	173
263	planning	Dark Sea Cinema And Brewery		Oakland	94609-1804		4.5	779
